"ID"	"SiteFK"	"Circle"	"Orientation"	"Code"	"Species"
2758	1300	3	"A"	586	"Mountain winterberry"
2759	1300	3	"B"	587	"Red maple"
2760	1300	3	"C"	588	"Red maple"
2761	1300	3	"D"	589	"Red oak"
2762	1300	3	"E"	590	"Red oak"
2763	1300	4	"A"	591	"Rhododendron"
2764	1300	4	"B"	592	"Rhododendron"
2765	1300	4	"C"	593	"Serviceberry"
2766	1300	4	"D"	594	"Serviceberry"
2767	1300	4	"E"	595	"Striped maple"
2768	1300	5	"A"	596	"Striped maple"
2769	1300	5	"B"	597	"White oak"
2770	1300	5	"C"	598	"White ash"
2771	1300	5	"D"	599	"Witch hazel"
2772	1300	5	"E"	600	"Witch hazel"
2773	1300	1	"A"	601	"Yellow birch"
2774	1300	1	"B"	602	"Yellow birch"
2775	1300	1	"C"	603	"8"
2776	1300	1	"D"	604	"8"
2777	1300	1	"E"	605	"American chestnut"
2778	1300	2	"A"	606	"American chestnut"
2779	1300	2	"B"	607	"Red maple"
2780	1300	2	"C"	608	"Red maple"
2781	1300	2	"D"	609	"Red oak"
2782	1300	2	"E"	610	"Red oak"
2783	1300	3	"A"	611	"Striped maple"
2784	1300	3	"B"	612	"Striped maple"
2785	1300	3	"C"	613	"8"
2786	1300	3	"D"	614	"8"
2787	1300	3	"E"	615	"9"
2788	1300	4	"A"	616	"9"
2789	1300	4	"B"	617	"American chestnut"
2790	1300	4	"C"	618	"American chestnut"
2791	1300	4	"D"	619	"Mountain winterberry"
2792	1300	4	"E"	620	"Mountain winterberry"
2793	1300	5	"A"	621	"Red maple"
2794	1300	5	"B"	622	"Red maple"
2795	1300	5	"C"	623	"Red oak"
2796	1300	5	"D"	624	"Red oak"
2797	1300	5	"E"	625	"Rhododendron"
2798	1300	1	"A"	626	"Rhododendron"
2799	1300	1	"B"	627	"Serviceberry"
2800	1300	1	"C"	628	"Serviceberry"
2801	1300	1	"D"	629	"Striped maple"
2802	1300	1	"E"	630	"Striped maple"
2803	1300	2	"A"	631	"Witch hazel"
2804	1300	2	"B"	632	"Witch hazel"
2805	1300	2	"C"	633	"Yellow birch"
2806	1300	2	"D"	634	"Yellow birch"
2807	1300	2	"E"	635	"Red maple"
2808	1300	3	"A"	636	"Red maple"
2809	1300	3	"B"	637	"Red oak"
2810	1300	3	"C"	638	"Striped maple"
2811	1300	3	"D"	639	"Striped maple"
2812	1300	3	"E"	640	"American beech"
2813	1300	4	"A"	641	"American beech"
2814	1300	4	"B"	642	"American chestnut"
